"relative_path","ok","error_count","first_error","length"
"architecture/legacy-export-scripts/RUN_ON_LEGACY_PC_001_FREEZE_EXPORT_PREFLIGHT_READONLY.ps1","True","0","","3670"
"architecture/legacy-export-scripts/RUN_ON_LEGACY_PC_002_CREATE_EXPORT_PACKAGE_AFTER_FREEZE.ps1","True","0","","3680"
"architecture/legacy-export-scripts/RUN_ON_MAIN_NODE_003_RECEIVE_AND_VALIDATE_LEGACY_PACKAGE.ps1","True","0","","1749"
"architecture/onboarding/validators/validate-node-contract.ps1","True","0","","1863"
"dashboard-master/refresh-master-dashboard.ps1","True","0","","5204"
"dashboard-master/update-master-control-status.ps1","True","0","","6214"
"packages/migration/ENGREMIAT_LEGACY_HANDOFF_KIT_20260611-181116/scripts/RUN_ON_LEGACY_PC_001_FREEZE_EXPORT_PREFLIGHT_READONLY.ps1","True","0","","3670"
"packages/migration/ENGREMIAT_LEGACY_HANDOFF_KIT_20260611-181116/scripts/RUN_ON_LEGACY_PC_002_CREATE_EXPORT_PACKAGE_AFTER_FREEZE.ps1","True","0","","3680"
"packages/migration/ENGREMIAT_LEGACY_HANDOFF_KIT_20260611-181116/scripts/RUN_ON_MAIN_NODE_003_RECEIVE_AND_VALIDATE_LEGACY_PACKAGE.ps1","True","0","","1749"
"packages/migration/ENGREMIAT_LEGACY_HANDOFF_KIT_20260611-181130/scripts/RUN_ON_LEGACY_PC_001_FREEZE_EXPORT_PREFLIGHT_READONLY.ps1","True","0","","3670"
"packages/migration/ENGREMIAT_LEGACY_HANDOFF_KIT_20260611-181130/scripts/RUN_ON_LEGACY_PC_002_CREATE_EXPORT_PACKAGE_AFTER_FREEZE.ps1","True","0","","3680"
"packages/migration/ENGREMIAT_LEGACY_HANDOFF_KIT_20260611-181130/scripts/RUN_ON_MAIN_NODE_003_RECEIVE_AND_VALIDATE_LEGACY_PACKAGE.ps1","True","0","","1749"
"packages/migration/ENGREMIAT_LEGACY_HANDOFF_KIT_20260611-181201/scripts/RUN_ON_LEGACY_PC_001_FREEZE_EXPORT_PREFLIGHT_READONLY.ps1","True","0","","3670"
"packages/migration/ENGREMIAT_LEGACY_HANDOFF_KIT_20260611-181201/scripts/RUN_ON_LEGACY_PC_002_CREATE_EXPORT_PACKAGE_AFTER_FREEZE.ps1","True","0","","3680"
"packages/migration/ENGREMIAT_LEGACY_HANDOFF_KIT_20260611-181201/scripts/RUN_ON_MAIN_NODE_003_RECEIVE_AND_VALIDATE_LEGACY_PACKAGE.ps1","True","0","","1749"
"packages/migration/ENGREMIAT_LEGACY_HANDOFF_KIT_20260611-181452/scripts/RUN_ON_LEGACY_PC_001_FREEZE_EXPORT_PREFLIGHT_READONLY.ps1","True","0","","3670"
"packages/migration/ENGREMIAT_LEGACY_HANDOFF_KIT_20260611-181452/scripts/RUN_ON_LEGACY_PC_002_CREATE_EXPORT_PACKAGE_AFTER_FREEZE.ps1","True","0","","3680"
"packages/migration/ENGREMIAT_LEGACY_HANDOFF_KIT_20260611-181452/scripts/RUN_ON_MAIN_NODE_003_RECEIVE_AND_VALIDATE_LEGACY_PACKAGE.ps1","True","0","","1749"
"tools/engremiat-constructor/scripts/constructor-local-bootstrap.ps1","True","0","","685"
"tools/engremiat-constructor/scripts/validate-generated-project.ps1","True","0","","607"
"tools/engremiat-control/automation-tests/phase-071-sequential-architecture/runner/run-sequential-automation-dry-run-071.ps1","True","0","","4775"
"tools/engremiat-control/automation-tests/phase-074-repeatable-local-dry-run/runner/run-repeatable-local-dry-run-074.ps1","True","0","","7596"
